2564 	2900 	2
3162 	2900 	1
3854 	2900 	1
681 	0158 	1
681 	2900 	25
931 	2900 	5
2414 	2900 	9
2905 	2900 	17
3575 	2900 	5
3575 	1210 	2
2106 	0392 	2
2106 	2900 	4
2106 	5800 	1
2237 	2900 	5
3176 	2900 	6
3347 	5840 	2
3347 	2900 	1
3597 	0392 	1
3597 	9999 	1
3597 	2900 	9
3933 	5840 	2
3933 	2900 	4
300 	2900 	23
300 	0158 	1
1801 	0158 	5
2149 	2900 	8
2253 	2900 	1
3966 	2900 	1
4169 	2900 	3
514 	0158 	3
514 	2900 	18
1047 	0158 	3
1199 	2900 	2
1509 	4520 	2
1509 	0392 	4
1509 	2900 	7
2367 	2900 	1
2780 	2900 	7
3489 	2900 	4
563 	2900 	1
637 	2900 	7
796 	2900 	16
3909 	2900 	13
107 	2900 	14
149 	2900 	3
1257 	2900 	2
1257 	1210 	1
1267 	0392 	2
1267 	2900 	11
1557 	2900 	3
3902 	2900 	8
4011 	2900 	37
1788 	0158 	1
1788 	2900 	5
2806 	2900 	22
3473 	2900 	1
1057 	2900 	3
2619 	2900 	1
3675 	0158 	1
3675 	2900 	8
251 	2900 	13
251 	0392 	1
1178 	2900 	70
2693 	2900 	34
3184 	2900 	14
3311 	2900 	36
3422 	2900 	3
3701 	2900 	1
4198 	2900 	1
1241 	2900 	2
1332 	2900 	12
3041 	2900 	4
5 	2900 	4
182 	4730 	1
826 	2900 	5
1148 	2900 	2
1215 	2900 	1
2423 	2900 	7
2532 	2900 	12
2728 	2900 	15
1091 	2900 	5
1299 	6010 	7
2942 	2900 	23
2942 	0392 	1
3915 	0392 	1
3915 	2900 	5
70 	2900 	33
264 	2900 	2
82 	2900 	9
4056 	2900 	2
4184 	2900 	6
2440 	2900 	9
3103 	0392 	4
3103 	2900 	13
3308 	2900 	1
3328 	2900 	12
3687 	2900 	7
3687 	3050 	1
424 	2900 	2
860 	2900 	11
1738 	2900 	5
2950 	5810 	1
2950 	2900 	2
1423 	2900 	1
1682 	5840 	2
1682 	2900 	7
2307 	2900 	3
2307 	0392 	1
359 	0392 	2
359 	2900 	9
2747 	2900 	18
2767 	2610 	2
2767 	2900 	7
1338 	2900 	6
2300 	2900 	14
3829 	2900 	11
608 	2900 	1
608 	7910 	1
2634 	2900 	8
2775 	2900 	3
2775 	0158 	1
2831 	2900 	40
3215 	2900 	2
3552 	2900 	1
118 	2900 	5
162 	2900 	2
1012 	2900 	22
2268 	2900 	6
3550 	5840 	3
3550 	6060 	1
3572 	2900 	1
3999 	2900 	1
1621 	0392 	1
1621 	2900 	3
2033 	2900 	3
2471 	2900 	2
2927 	2900 	1
1259 	2900 	3
443 	2900 	2
1166 	2900 	6
1277 	0392 	3
1277 	2900 	6
3594 	1100 	1
3594 	2900 	3
3952 	2900 	1
3952 	5840 	2
469 	3990 	10
505 	2900 	8
998 	2900 	23
998 	0158 	2
1101 	2900 	6
2413 	2900 	11
2584 	2900 	1
3274 	2900 	2
3947 	2900 	4
3947 	0392 	2
3947 	1270 	1
199 	2900 	2
616 	2900 	1
1184 	2900 	1
1851 	2900 	1
2931 	2280 	3
3486 	2900 	13
3586 	1310 	1
3586 	0392 	1
3586 	2900 	12
55 	2900 	5
63 	2900 	9
2120 	2900 	1
3182 	2900 	11
819 	0158 	2
819 	2900 	2
819 	3050 	1
926 	2900 	1
1619 	2900 	11
2145 	0392 	1
2145 	2900 	7
2284 	2900 	4
2284 	5880 	1
2284 	5800 	1
2546 	0158 	3
2546 	2900 	3
2849 	2900 	1
3213 	2900 	8
3285 	2900 	39
3292 	0158 	1
3292 	2900 	6
3437 	2900 	7
3437 	0158 	1
3532 	2900 	6
